emoji,category
🍇,fruits
🍈,fruits
🍉,fruits
🍊,fruits
🍋,fruits
🍌,fruits
🍍,fruits
🥭,fruits
🍎,fruits
🍏,fruits
🍐,fruits
🍑,fruits
🍒,fruits
🍓,fruits
🥝,fruits
🍅,fruits
🥥,fruits
🥑,vegetables
🍆,vegetables
🥔,vegetables
🥕,vegetables
🌽,vegetables
🌶,vegetables
🥒,vegetables
🥬,vegetables
🥦,vegetables
🍄,vegetables
🥜,vegetables
🌰,vegetables
🍞,prepared foods
🥐,prepared foods
🥖,prepared foods
🥨,prepared foods
🥯,prepared foods
🥞,prepared foods
🧀,prepared foods
🍖,prepared foods
🍗,prepared foods
🥩,prepared foods
🥓,prepared foods
🍔,prepared foods
🍟,prepared foods
🍕,prepared foods
🌭,prepared foods
🥪,prepared foods
🌮,prepared foods
🌯,prepared foods
🥙,prepared foods
🥚,prepared foods
🍳,prepared foods
🥘,prepared foods
🍲,prepared foods
🥣,prepared foods
🥗,prepared foods
🍿,prepared foods
🧂,prepared foods
🥫,prepared foods
🍱,asian foods
🍘,asian foods
🍙,asian foods
🍚,asian foods
🍛,asian foods
🍜,asian foods
🍝,asian foods
🍠,asian foods
🍢,asian foods
🍣,asian foods
🍤,asian foods
🍥,asian foods
🥮,asian foods
🍡,asian foods
🥟,asian foods
🥠,asian foods
🥡,asian foods
🦀,asian foods
🦞,asian foods
🦐,asian foods
🦑,asian foods
🍦,sweets & desserts
🍧,sweets & desserts
🍨,sweets & desserts
🍩,sweets & desserts
🍪,sweets & desserts
🎂,sweets & desserts
🍰,sweets & desserts
🧁,sweets & desserts
🥧,sweets & desserts
🍫,sweets & desserts
🍬,sweets & desserts
🍭,sweets & desserts
🍮,sweets & desserts
🍯,sweets & desserts
🍼,drinks & dishware
🥛,drinks & dishware
☕,drinks & dishware
🍵,drinks & dishware
🍶,drinks & dishware
🍾,drinks & dishware
🍷,drinks & dishware
🍸,drinks & dishware
🍹,drinks & dishware
🍺,drinks & dishware
🍻,drinks & dishware
🥂,drinks & dishware
🥃,drinks & dishware
